u,rho,P,T,h,gamma,mu,k
141744.966442953,688,195243423.226457,334.171402196336,425529.011830245,4.48117990482395,7.53427982166821e-05,0.123564255636016
141744.966442953,693.5,200481517.538908,334.748634390052,430831.509397399,4.50331716916804,7.67024765016348e-05,0.125620360226327
141744.966442953,699,205840270.166988,335.30708385792,436223.178412893,4.52512736555314,7.80977061617025e-05,0.127704984101067
141744.966442953,704.5,211321655.232007,335.846439609002,441704.732563615,4.54661193010244,7.95297737477786e-05,0.12981849925073
141744.966442953,710,216927655.062943,336.366393221851,447276.874982309,4.56777252118149,8.10000035905875e-05,0.131961088853669
141744.966442953,715.5,222660259.764104,336.866639034224,452940.298048969,4.58861100806842,8.25097582700707e-05,0.134132835113077
141744.966442953,721,228521466.778701,337.346874328532,458695.68319566,4.60912945964141,8.4060439092046e-05,0.136333759051118
141744.966442953,726.5,234513280.448021,337.806799512918,464543.700714145,4.62933013311739,8.56534865713598e-05,0.138563841215813
141744.966442953,732,240637711.565886,338.246118297868,470485.009565749,4.64921546287453,8.72903809208048e-05,0.140823033621276
141744.966442953,737.5,246896776.928049,338.664537868265,476520.257192849,4.6687880493896,8.89726425451431e-05,0.143111267215616
141744.966442953,743,253292498.87611,339.061769050808,482650.079331392,4.68805064831945,9.07018325396426e-05,0.145428456874824
141744.966442953,748.5,259826904.835607,339.437526476735,488875.099823858,4.70700615975369,9.24795531926186e-05,0.147774504935227
141744.966442953,754,266502026.847805,339.791528739796,495195.930432084,4.72565761766372,9.43074484915533e-05,0.150149303813428
141744.966442953,759.5,273319901.094791,340.123498549415,501613.170649393,4.74400817957085,9.61872046324527e-05,0.152552738028027
141744.966442953,765,280282567.417394,340.43316287902,508127.407511442,4.76206111645405,9.81205505321876e-05,0.154984685811524
141744.966442953,770.5,287392068.825473,340.720253109494,514739.215405281,4.77981980291589,0.000100109258343652,0.157445020429867
141744.966442953,776,294650451.000107,340.984505167739,521449.15587608,4.79728770762267,0.000102155143973662,0.159933611285369
141744.966442953,781.5,302059761.787179,341.225659660318,528257.777431026,4.81446838403289,0.000104260067603593,0.162450324853434
141744.966442953,787,309622050.681892,341.443462002172,535165.615339893,4.83136546142603,0.000106425934212865,0.164995025487566
141744.966442953,792.5,317339368.303689,341.637662540406,542173.191431835,4.84798263624151,0.000108654694105423,0.167567576116962
141744.966442953,798,325213765.861107,341.808016673137,549281.013887949,4.86432366373615,0.000110948343439499,0.170167838854256
141744.966442953,803.5,333247294.606026,341.954284963405,556489.577029171,4.88039234996598,0.00011330892476097,0.172795675526462
141744.966442953,809,341442005.276851,342.076233248159,563799.361099134,4.89619254409731,0.000115738527540749,0.175450948139086
141744.966442953,814.5,349799947.530079,342.173632742307,571210.832041577,4.9117281310496,0.000118239288716698,0.178133519281274
141744.966442953,820,358323169.35979,342.246260137865,578724.441271965,4.9270030244717,0.000120813393240655,0.180843252478319
143691.275167785,0.5,28794.5853459587,194.165330941712,201280.445859707,1.40027803290274,1.25775755942021e-05,0.0177613704148562
143691.275167785,6,345810.199704735,195.758288633818,201326.308451908,1.40498984230229,1.27376719955954e-05,0.0180608273919402
143691.275167785,11.5,663510.955063883,197.334039056303,201387.879955949,1.41022062456466,1.28995255812325e-05,0.0183763384991469
143691.275167785,17,982154.10033453,198.89324270117,201465.045775699,1.41596680096608,1.30632444806465e-05,0.0187060336867624
143691.275167785,22.5,1301994.88014103,200.436531442085,201557.714285164,1.42222524081826,1.32289329627507e-05,0.0190482071204837
143691.275167785,28,1623287.11869403,201.964510569821,201665.815121144,1.42899317598611,1.33966914734957e-05,0.0194013135190839
143691.275167785,33.5,1946283.75588736,203.477760634004,201789.297731587,1.43626813100357,1.35666166267039e-05,0.0197639611604805
143691.275167785,39,2271237.34422737,204.976839104043,201928.130147974,1.44404786665849,1.37388011575196e-05,0.0201349042877553
143691.275167785,44.5,2598400.51397821,206.46228186274,202082.297953812,1.45233033509318,1.39133338477414e-05,0.0205130353895261
143691.275167785,50,2928026.41284111,207.93460454602,202251.803424607,1.4611136446264,1.40902994320961e-05,0.020897377497259
143691.275167785,55.5,3260369.12555559,209.394303741886,202436.664817436,1.47039603265053,1.42697784942647e-05,0.0212870765524678
143691.275167785,61,3595684.07799444,210.841858061051,202636.915790645,1.48017584509587,1.44518473611925e-05,0.021681393865924
143691.275167785,66.5,3934228.42960652,212.277729090987,202852.604936304,1.49045152108541,1.46365780038895e-05,0.0220796986792376
143691.275167785,72,4276261.45742673,213.702362244367,203083.795409823,1.5012215815299,1.48240379525581e-05,0.0224814608347937
143691.275167785,77.5,4622044.93431162,215.116187512077,203330.564642774,1.51248462053486,1.5014290233468e-05,0.0228862435588468
143691.275167785,83,4971843.50356114,216.519620130225,203593.004126353,1.52423929861033,1.52073933345201e-05,0.023293696362858
143691.275167785,88.5,5325925.0516455,217.913061169844,203871.219254175,1.53648433679007,1.54034012059082e-05,0.0237035480690734
143691.275167785,94,5684561.08036416,219.296898057294,204165.329214212,1.5492185108804,1.56023633016869e-05,0.0241155999674553
143691.275167785,99.5,6048027.07941698,220.671505032758,204475.46692072,1.56244064516997,1.58043246673941e-05,0.0245297191120987
143691.275167785,105,6416602.90006035,222.037243553627,204801.778977884,1.57614960504002,1.60093260781438e-05,0.0249458317660116
143691.275167785,110.5,6790573.13025152,223.394462649013,205144.425667799,1.59034428802039,1.62174042308126e-05,0.0253639170034299
143691.275167785,116,7170227.47144767,224.743499231183,205503.580956127,1.60502361293917,1.64285919930857e-05,0.0257840004785166
143691.275167785,121.5,7555861.1170221,226.0846783692,205879.432509531,1.62018650691313,1.6642918711213e-05,0.0262061483681912
143691.275167785,127,7947775.13208447,227.418313529665,206272.181719631,1.63583189002202,1.68604105773558e-05,0.0266304614947019
143691.275167785,132.5,8346276.83434547,228.744706789071,206682.043728883,1.65195865760155,1.70810910563915e-05,0.0270570696300992
143691.275167785,138,8751680.17554584,230.064149021906,207109.247454349,1.6685656601779,1.73049813709967e-05,0.0274861259795297
143691.275167785,143.5,9164306.12287624,231.376920068309,207554.035605947,1.68565168114953,1.75321010427488e-05,0.0279178018325567
143691.275167785,149,9584483.03974611,232.683288884773,208016.664696283,1.70321541240076,1.77624684859072e-05,0.0283522813604366
143691.275167785,154.5,10012547.0652163,233.983513681072,208497.405039735,1.72125542810444,1.79961016494467e-05,0.0287897565206659
143691.275167785,160,10448842.4913931,235.277842046308,208996.540738992,1.73977015703835,1.82330187018529e-05,0.0292304220052023
143691.275167785,165.5,10893722.138088,236.56651106668,209514.369657743,1.75875785380041,1.84732387521593e-05,0.0296744701304776
143691.275167785,171,11347547.7240802,237.849747437293,210051.203378781,1.77821656936143,1.87167825997285e-05,0.030122085506619
143691.275167785,176.5,11810690.2343755,239.127767570052,210607.36714725,1.79814412143862,1.89636735043752e-05,0.0305734392235539
143691.275167785,182,12283530.2829382,240.40077769939,211183.199799314,1.8185380652088,1.92139379676155e-05,0.0310286821208406
143691.275167785,187.5,12766458.4704776,241.668973987295,211779.053676999,1.83939566490428,1.94676065151193e-05,0.0314879364013231
143691.275167785,193,13259875.7369967,242.932542628814,212395.294530463,1.86071386684653,1.9724714469867e-05,0.0319512842666765
143691.275167785,198.5,13764193.7089646,244.191659958899,213032.30140942,1.88248927446994,1.99853027050794e-05,0.0324187510737746
143691.275167785,204,14279835.0411321,245.446492561172,213690.466545884,1.90471812586999,2.02494183657167e-05,0.0328902779227337
143691.275167785,209.5,14807233.7531973,246.697197378868,214370.19523078,1.92739627437391,2.0517115547248e-05,0.0333656723011857
143691.275167785,215,15346835.5617073,247.943921827911,215071.905687354,1.95051917257698,2.0788455920485e-05,0.0338445079521158
143691.275167785,220.5,15899098.2077756,249.186803911786,215796.028944545,1.97408186021269,2.10635092915606e-05,0.0343258865921428
143691.275167785,226,16464491.7813725,250.425972337551,216543.008713681,1.99807895612945,2.13423540866268e-05,0.0348077103302646
143691.275167785,231.5,17043499.0431112,251.661546632099,217313.301271937,2.02250465453134,2.1625077751543e-05,0.0352829645082445
143691.275167785,237,17636615.7445882,252.893637257487,218107.375355921,2.04735272550656,2.19117770577314e-05,0.0357404143366244
143691.275167785,242.5,18244350.9484354,254.122345723963,218925.71206855,2.07261651971828,2.22025583064746e-05,0.036268383306146
143691.275167785,248,18867227.3492872,255.347764699138,219768.804802008,2.09828897697186,2.24975374252303e-05,0.0368036068967726
143691.275167785,253.5,19505781.5968507,256.569978111637,220637.159179031,2.12436263820714,2.27968399510013e-05,0.0373461664462989
143691.275167785,259,20160564.6221778,257.789061247493,221531.293014032,2.15082966030049,2.3100600897434e-05,0.0378961335631696
143691.275167785,264.5,20832141.9680658,259.005080837607,222451.736294688,2.17768183290913,2.34089645040783e-05,0.0384535716935513
143691.275167785,270,21521094.1242551,260.218095134638,223399.031183545,2.20491059645874,2.37220838681174e-05,0.0390185378187012
143691.275167785,275.5,22228016.8677421,261.428153977935,224373.732037992,2.23250706027566,2.40401204608301e-05,0.0395910842600781
143691.275167785,281,22953521.6080926,262.635298845351,225376.405445703,2.26046201980849,2.43632435330427e-05,0.0401712605694532
143691.275167785,286.5,23698235.7371167,263.83956289109,226407.630271159,2.28876597188033,2.46916294158337e-05,0.0407591154812762
143691.275167785,292,24462802.9817364,265.040970969464,227467.997707978,2.31740912697036,2.50254607247421e-05,0.041354698904747
143691.275167785,297.5,25247883.7581828,266.239539644328,228558.111329744,2.34638141765036,2.53649254776087e-05,0.0419580639333562
143691.275167785,303,26054155.5251488,267.435277185308,229678.587131973,2.37567250249661,2.57102161380117e-05,0.0425692688502406
143691.275167785,308.5,26882313.1328538,268.628183551885,230830.05355629,2.40527176506329,2.60615285978746e-05,0.0431883791083469
143691.275167785,314,27733069.1645006,269.818250367345,232013.151487851,2.43516830782789,2.64190611142935e-05,0.0438154692652704
143691.275167785,319.5,28607154.2661931,271.005460885045,233228.534216903,2.46535094139316,2.67830132168637e-05,0.044450624853623
143691.275167785,325,29505317.4611397,272.189789950028,234476.867355908,2.4958081696325,2.71535846027562e-05,0.0450939441689195
143691.275167785,330.5,30428326.4439228,273.371203959417,235758.828704617,2.52652817187345,2.75309740374881e-05,0.0457455399582202
143691.275167785,336,31376967.8508002,274.549660825362,237075.108057071,2.5574987835988,2.79153782797156e-05,0.0464055409941308
143691.275167785,341.5,32352047.5024425,275.725109944475,238426.406946534,2.58870747747544,2.83069910484341e-05,0.047074093520209
143691.275167785,347,33354390.6162076,276.897492177683,239813.438326885,2.62014134676662,2.87060020507032e-05,0.0477513625553563
143691.275167785,352.5,34384841.9860015,278.066739844261,241236.926191903,2.65178709331381,2.91125960874051e-05,0.04843753304636
143691.275167785,358,35444266.12894,279.232776733433,242697.605136891,2.68363102226671,2.95269522536114e-05,0.0491328108593822
143691.275167785,363.5,36533547.3993551,280.395518136338,244196.219870275,2.71565904557637,2.99492432488866e-05,0.0498374236028508
143691.275167785,369,37653590.0721223,281.554870900487,245733.524685732,2.7478566959425,3.03796348113171e-05,0.0505516212758786
143691.275167785,374.5,38805318.3987163,282.710733507909,247310.282908016,2.78020915242722,3.08182852872512e-05,0.0512756767380064
143691.275167785,380,39989676.6407532,283.862996177253,248927.266327662,2.81270127833403,3.1265345346708e-05,0.0520098859977207
143691.275167785,385.5,41207629.0869242,285.011540989098,250585.254641,2.84531767123704,3.17209578522001e-05,0.0527545683188169
143691.275167785,391,42460160.0600836,286.156242032687,252285.034912245,2.8780427242755,3.218525788636e-05,0.0535100661452693
143691.275167785,396.5,43748273.921723,287.296965571378,254027.40107377,2.91086069705868,3.26583729413267e-05,0.0542767448467998
143691.275167785,402,45072995.0810822,288.433570223286,255813.153478935,2.94375579381517,3.31404232703674e-05,0.0550549922888135
143691.275167785,407.5,46435368.0156729,289.565907152942,257643.09851913,2.97671224582922,3.36315223997558e-05,0.0558452182317732
143691.275167785,413,47836457.3090279,290.693820269383,259518.048313131,3.00971439478948,3.41317777965414e-05,0.0566478535664176
143691.275167785,418.5,49277347.710059,291.81714642592,261438.820472586,3.0427467734764,3.46412916855715e-05,0.0574633493924712
