T_K,P_Pa,state,is_boiling
312,2344217.47967712,liquid,0
312,2413165.0526088,liquid,0
312,2482112.62554048,liquid,0
312,2551060.19847216,liquid,0
312,2620007.77140384,liquid,0
312,2688955.34433552,liquid,0
312,2757902.9172672,liquid,0
312,2826850.49019888,liquid,0
312,2895798.06313056,liquid,0
312,2964745.63606224,liquid,0
312,3033693.20899392,liquid,0
312,3102640.7819256,liquid,0
312,3171588.35485728,liquid,0
312,3240535.92778896,liquid,0
312,3309483.50072064,liquid,0
312,3378431.07365232,liquid,0
312,3447378.646584,liquid,0
314,1723689.323292,liquid,0
314,1792636.89622368,liquid,0
314,1861584.46915536,liquid,0
314,1930532.04208704,liquid,0
314,1999479.61501872,liquid,0
314,2068427.1879504,liquid,0
314,2137374.76088208,liquid,0
314,2206322.33381376,liquid,0
314,2275269.90674544,liquid,0
314,2344217.47967712,liquid,0
314,2413165.0526088,liquid,0
314,2482112.62554048,liquid,0
314,2551060.19847216,liquid,0
314,2620007.77140384,liquid,0
314,2688955.34433552,liquid,0
314,2757902.9172672,liquid,0
314,2826850.49019888,liquid,0
314,2895798.06313056,liquid,0
314,2964745.63606224,liquid,0
314,3033693.20899392,liquid,0
314,3102640.7819256,liquid,0
314,3171588.35485728,liquid,0
314,3240535.92778896,liquid,0
314,3309483.50072064,liquid,0
314,3378431.07365232,liquid,0
314,3447378.646584,liquid,0
316,1723689.323292,liquid,0
316,1792636.89622368,liquid,0
316,1861584.46915536,liquid,0
316,1930532.04208704,liquid,0
316,1999479.61501872,liquid,0
316,2068427.1879504,liquid,0
316,2137374.76088208,liquid,0
316,2206322.33381376,liquid,0
316,2275269.90674544,liquid,0
316,2344217.47967712,liquid,0
316,2413165.0526088,liquid,0
316,2482112.62554048,liquid,0
316,2551060.19847216,liquid,0
316,2620007.77140384,liquid,0
316,2688955.34433552,liquid,0
316,2757902.9172672,liquid,0
316,2826850.49019888,liquid,0
316,2895798.06313056,liquid,0
316,2964745.63606224,liquid,0
316,3033693.20899392,liquid,0
316,3102640.7819256,liquid,0
316,3171588.35485728,liquid,0
316,3240535.92778896,liquid,0
316,3309483.50072064,liquid,0
316,3378431.07365232,liquid,0
316,3447378.646584,liquid,0
318,1723689.323292,liquid,0
318,1792636.89622368,liquid,0
318,1861584.46915536,liquid,0
318,1930532.04208704,liquid,0
318,1999479.61501872,liquid,0
318,2068427.1879504,liquid,0
318,2137374.76088208,liquid,0
318,2206322.33381376,liquid,0
318,2275269.90674544,liquid,0
318,2344217.47967712,liquid,0
318,2413165.0526088,liquid,0
318,2482112.62554048,liquid,0
318,2551060.19847216,liquid,0
318,2620007.77140384,liquid,0
318,2688955.34433552,liquid,0
318,2757902.9172672,liquid,0
318,2826850.49019888,liquid,0
318,2895798.06313056,liquid,0
318,2964745.63606224,liquid,0
318,3033693.20899392,liquid,0
318,3102640.7819256,liquid,0
318,3171588.35485728,liquid,0
318,3240535.92778896,liquid,0
318,3309483.50072064,liquid,0
318,3378431.07365232,liquid,0
318,3447378.646584,liquid,0
320,1723689.323292,liquid,0
320,1792636.89622368,liquid,0
320,1861584.46915536,liquid,0
320,1930532.04208704,liquid,0
320,1999479.61501872,liquid,0
320,2068427.1879504,liquid,0
320,2137374.76088208,liquid,0
320,2206322.33381376,liquid,0
320,2275269.90674544,liquid,0
320,2344217.47967712,liquid,0
320,2413165.0526088,liquid,0
320,2482112.62554048,liquid,0
320,2551060.19847216,liquid,0
320,2620007.77140384,liquid,0
320,2688955.34433552,liquid,0
320,2757902.9172672,liquid,0
320,2826850.49019888,liquid,0
320,2895798.06313056,liquid,0
320,2964745.63606224,liquid,0
320,3033693.20899392,liquid,0
320,3102640.7819256,liquid,0
320,3171588.35485728,liquid,0
320,3240535.92778896,liquid,0
320,3309483.50072064,liquid,0
320,3378431.07365232,liquid,0
320,3447378.646584,liquid,0
