T_K,P_Pa,rho_kg_m3
304,3447378.646584,780.037160517619
306,1723689.323292,776.549467864186
306,1792636.89622368,776.632629721153
306,1861584.46915536,776.715791578121
306,1930532.04208704,776.798953435088
306,1999479.61501872,776.882115292055
306,2068427.1879504,776.965469804402
306,2137374.76088208,777.048825781882
306,2206322.33381376,777.132181759362
306,2275269.90674544,777.215537736842
306,2344217.47967712,777.298893714322
306,2413165.0526088,777.382249691802
306,2482112.62554048,777.465605669282
306,2551060.19847216,777.548961646763
306,2620007.77140384,777.632317624243
306,2688955.34433552,777.715673601723
306,2757902.9172672,777.799029579203
306,2826850.49019888,777.882385556683
306,2895798.06313056,777.965741534163
306,2964745.63606224,778.049097511643
306,3033693.20899392,778.132580466024
306,3102640.7819256,778.216196280707
306,3171588.35485728,778.299812095389
306,3240535.92778896,778.383427910071
306,3309483.50072064,778.467043724754
306,3378431.07365232,778.550659539436
306,3447378.646584,778.634275354119
308,1723689.323292,775.106237504452
308,1792636.89622368,775.18909066383
308,1861584.46915536,775.271943823208
308,1930532.04208704,775.354796982587
308,1999479.61501872,775.437650141965
308,2068427.1879504,775.520694886521
308,2137374.76088208,775.603741088072
308,2206322.33381376,775.686787289622
308,2275269.90674544,775.769833491173
308,2344217.47967712,775.852879692723
308,2413165.0526088,775.935925894274
308,2482112.62554048,776.018972095825
308,2551060.19847216,776.102018297375
308,2620007.77140384,776.185064498926
308,2688955.34433552,776.268110700477
308,2757902.9172672,776.351156902028
308,2826850.49019888,776.434203103578
308,2895798.06313056,776.517249305129
308,2964745.63606224,776.60029550668
308,3033693.20899392,776.683467978922
308,3102640.7819256,776.766772572534
308,3171588.35485728,776.850077166146
308,3240535.92778896,776.933381759758
308,3309483.50072064,777.01668635337
308,3378431.07365232,777.099990946982
308,3447378.646584,777.183295540593
310,1723689.323292,773.663007144719
310,1792636.89622368,773.745551606508
310,1861584.46915536,773.828096068296
310,1930532.04208704,773.910640530085
310,1999479.61501872,773.993184991874
310,2068427.1879504,774.075919968639
310,2137374.76088208,774.158656394261
310,2206322.33381376,774.241392819882
310,2275269.90674544,774.324129245503
310,2344217.47967712,774.406865671125
310,2413165.0526088,774.489602096746
310,2482112.62554048,774.572338522367
310,2551060.19847216,774.655074947989
310,2620007.77140384,774.73781137361
310,2688955.34433552,774.820547799231
310,2757902.9172672,774.903284224853
310,2826850.49019888,774.986020650474
310,2895798.06313056,775.068757076095
310,2964745.63606224,775.151493501717
310,3033693.20899392,775.23435549182
310,3102640.7819256,775.317348864361
310,3171588.35485728,775.400342236903
310,3240535.92778896,775.483335609444
310,3309483.50072064,775.566328981985
310,3378431.07365232,775.649322354527
310,3447378.646584,775.732315727068
312,1723689.323292,772.10221516741
312,1792636.89622368,772.217118236506
312,1861584.46915536,772.332021305603
312,1930532.04208704,772.446924374699
312,1999479.61501872,772.561827443795
312,2068427.1879504,772.644503466929
312,2137374.76088208,772.72693440516
312,2206322.33381376,772.809365343391
312,2275269.90674544,772.891796281622
312,2344217.47967712,772.974227219853
312,2413165.0526088,773.056658158084
312,2482112.62554048,773.139089096315
312,2551060.19847216,773.221520034546
312,2620007.77140384,773.303950972777
312,2688955.34433552,773.386381911008
312,2757902.9172672,773.468812849239
312,2826850.49019888,773.55124378747
312,2895798.06313056,773.633674725701
312,2964745.63606224,773.716105663932
312,3033693.20899392,773.798661471217
312,3102640.7819256,773.88134793329
312,3171588.35485728,773.964034395363
312,3240535.92778896,774.046720857436
312,3309483.50072064,774.12940731951
312,3378431.07365232,774.212093781583
312,3447378.646584,774.294780243656
314,1723689.323292,770.541423190101
314,1792636.89622368,770.688684866505
314,1861584.46915536,770.835946542909
314,1930532.04208704,770.983208219313
314,1999479.61501872,771.130469895717
314,2068427.1879504,771.213086965219
314,2137374.76088208,771.29521241606
314,2206322.33381376,771.3773378669
314,2275269.90674544,771.459463317741
314,2344217.47967712,771.541588768582
314,2413165.0526088,771.623714219422
314,2482112.62554048,771.705839670263
314,2551060.19847216,771.787965121104
314,2620007.77140384,771.870090571944
314,2688955.34433552,771.952216022785
314,2757902.9172672,772.034341473626
314,2826850.49019888,772.116466924466
314,2895798.06313056,772.198592375307
314,2964745.63606224,772.280717826147
314,3033693.20899392,772.362967450614
314,3102640.7819256,772.445347002219
314,3171588.35485728,772.527726553824
314,3240535.92778896,772.610106105429
314,3309483.50072064,772.692485657034
314,3378431.07365232,772.774865208639
314,3447378.646584,772.857244760243
316,1723689.323292,768.935927771847
316,1792636.89622368,769.099019278721
316,1861584.46915536,769.262110785595
316,1930532.04208704,769.425202292469
316,1999479.61501872,769.588293799343
316,2068427.1879504,769.678771373401
316,2137374.76088208,769.768696722514
316,2206322.33381376,769.858622071627
316,2275269.90674544,769.948547420741
316,2344217.47967712,770.038472769854
316,2413165.0526088,770.128398118967
316,2482112.62554048,770.218323468081
316,2551060.19847216,770.308248817194
316,2620007.77140384,770.398174166307
316,2688955.34433552,770.488099515421
316,2757902.9172672,770.578024864534
316,2826850.49019888,770.667950213647
316,2895798.06313056,770.757875562761
316,2964745.63606224,770.847800911874
316,3033693.20899392,770.933889846415
316,3102640.7819256,771.015964608379
316,3171588.35485728,771.098039370343
316,3240535.92778896,771.180114132307
316,3309483.50072064,771.26218889427
316,3378431.07365232,771.344263656234
316,3447378.646584,771.426338418198
318,1723689.323292,767.285728912649
318,1792636.89622368,767.448121473155
318,1861584.46915536,767.610514033661
318,1930532.04208704,767.772906594166
318,1999479.61501872,767.935299154673
318,2068427.1879504,768.041556691473
318,2137374.76088208,768.147387324522
318,2206322.33381376,768.253217957572
318,2275269.90674544,768.359048590621
318,2344217.47967712,768.46487922367
318,2413165.0526088,768.570709856719
318,2482112.62554048,768.676540489768
318,2551060.19847216,768.782371122817
318,2620007.77140384,768.888201755866
318,2688955.34433552,768.994032388915
318,2757902.9172672,769.099863021964
318,2826850.49019888,769.205693655014
318,2895798.06313056,769.311524288063
318,2964745.63606224,769.417354921112
318,3033693.20899392,769.511428658618
318,3102640.7819256,769.593200751768
318,3171588.35485728,769.674972844919
318,3240535.92778896,769.756744938069
318,3309483.50072064,769.83851703122
318,3378431.07365232,769.92028912437
318,3447378.646584,770.00206121752
320,1723689.323292,765.63553005345
320,1792636.89622368,765.797223667588
320,1861584.46915536,765.958917281726
320,1930532.04208704,766.120610895864
320,1999479.61501872,766.282304510002
320,2068427.1879504,766.404342009546
320,2137374.76088208,766.526077926531
320,2206322.33381376,766.647813843516
320,2275269.90674544,766.769549760501
320,2344217.47967712,766.891285677486
320,2413165.0526088,767.013021594471
320,2482112.62554048,767.134757511456
320,2551060.19847216,767.256493428441
320,2620007.77140384,767.378229345425
320,2688955.34433552,767.49996526241
320,2757902.9172672,767.621701179395
320,2826850.49019888,767.74343709638
320,2895798.06313056,767.865173013365
320,2964745.63606224,767.98690893035
320,3033693.20899392,768.088967470821
320,3102640.7819256,768.170436895158
320,3171588.35485728,768.251906319495
320,3240535.92778896,768.333375743832
320,3309483.50072064,768.414845168169
320,3378431.07365232,768.496314592506
320,3447378.646584,768.577784016843
