T_K,P_Pa,boiling_T_K
310,3447378.646584,489.413197399729
312,1723689.323292,453.024980991348
312,1792636.89622368,454.961710568081
312,1861584.46915536,456.750892983299
312,1930532.04208704,458.537099535934
312,1999479.61501872,460.301439976298
312,2068427.1879504,461.966840288657
312,2137374.76088208,463.632240601016
312,2206322.33381376,465.276285511519
312,2275269.90674544,466.822195218508
312,2344217.47967712,468.368104925496
312,2413165.0526088,469.914014632484
312,2482112.62554048,471.362188818838
312,2551060.19847216,472.804606662597
312,2620007.77140384,474.247024506356
312,2688955.34433552,475.643659069053
312,2757902.9172672,476.990291352875
312,2826850.49019888,478.336923636697
312,2895798.06313056,479.683555920519
312,2964745.63606224,480.959011564768
312,3033693.20899392,482.212603799889
312,3102640.7819256,483.466196035011
312,3171588.35485728,484.719788270132
312,3240535.92778896,485.907388606593
312,3309483.50072064,487.075991537638
312,3378431.07365232,488.244594468683
312,3447378.646584,489.413197399729
314,1723689.323292,453.024980991348
314,1792636.89622368,454.961710568081
314,1861584.46915536,456.750892983299
314,1930532.04208704,458.537099535934
314,1999479.61501872,460.301439976298
314,2068427.1879504,461.966840288657
314,2137374.76088208,463.632240601016
314,2206322.33381376,465.276285511519
314,2275269.90674544,466.822195218508
314,2344217.47967712,468.368104925496
314,2413165.0526088,469.914014632484
314,2482112.62554048,471.362188818838
314,2551060.19847216,472.804606662597
314,2620007.77140384,474.247024506356
314,2688955.34433552,475.643659069053
314,2757902.9172672,476.990291352875
314,2826850.49019888,478.336923636697
314,2895798.06313056,479.683555920519
314,2964745.63606224,480.959011564768
314,3033693.20899392,482.212603799889
314,3102640.7819256,483.466196035011
314,3171588.35485728,484.719788270132
314,3240535.92778896,485.907388606593
314,3309483.50072064,487.075991537638
314,3378431.07365232,488.244594468683
314,3447378.646584,489.413197399729
316,1723689.323292,453.024980991348
316,1792636.89622368,454.961710568081
316,1861584.46915536,456.750892983299
316,1930532.04208704,458.537099535934
316,1999479.61501872,460.301439976298
316,2068427.1879504,461.966840288657
316,2137374.76088208,463.632240601016
316,2206322.33381376,465.276285511519
316,2275269.90674544,466.822195218508
316,2344217.47967712,468.368104925496
316,2413165.0526088,469.914014632484
316,2482112.62554048,471.362188818838
316,2551060.19847216,472.804606662597
316,2620007.77140384,474.247024506356
316,2688955.34433552,475.643659069053
316,2757902.9172672,476.990291352875
316,2826850.49019888,478.336923636697
316,2895798.06313056,479.683555920519
316,2964745.63606224,480.959011564768
316,3033693.20899392,482.212603799889
316,3102640.7819256,483.466196035011
316,3171588.35485728,484.719788270132
316,3240535.92778896,485.907388606593
316,3309483.50072064,487.075991537638
316,3378431.07365232,488.244594468683
316,3447378.646584,489.413197399729
318,1723689.323292,453.024980991348
318,1792636.89622368,454.961710568081
318,1861584.46915536,456.750892983299
318,1930532.04208704,458.537099535934
318,1999479.61501872,460.301439976298
318,2068427.1879504,461.966840288657
318,2137374.76088208,463.632240601016
318,2206322.33381376,465.276285511519
318,2275269.90674544,466.822195218508
318,2344217.47967712,468.368104925496
318,2413165.0526088,469.914014632484
318,2482112.62554048,471.362188818838
318,2551060.19847216,472.804606662597
318,2620007.77140384,474.247024506356
318,2688955.34433552,475.643659069053
318,2757902.9172672,476.990291352875
318,2826850.49019888,478.336923636697
318,2895798.06313056,479.683555920519
318,2964745.63606224,480.959011564768
318,3033693.20899392,482.212603799889
318,3102640.7819256,483.466196035011
318,3171588.35485728,484.719788270132
318,3240535.92778896,485.907388606593
318,3309483.50072064,487.075991537638
318,3378431.07365232,488.244594468683
318,3447378.646584,489.413197399729
320,1723689.323292,453.024980991348
320,1792636.89622368,454.961710568081
320,1861584.46915536,456.750892983299
320,1930532.04208704,458.537099535934
320,1999479.61501872,460.301439976298
320,2068427.1879504,461.966840288657
320,2137374.76088208,463.632240601016
320,2206322.33381376,465.276285511519
