T_K,P_Pa,k_W_m_K
290,3171588.35485728,0.137868808286442
290,3240535.92778896,0.137896627666999
290,3309483.50072064,0.137924447047555
290,3378431.07365232,0.137952266428112
290,3447378.646584,0.137980085808669
292,1723689.323292,0.136882684874363
292,1792636.89622368,0.136910422810491
292,1861584.46915536,0.13693816074662
292,1930532.04208704,0.136965898682748
292,1999479.61501872,0.136993636618877
292,2068427.1879504,0.137021374555005
292,2137374.76088208,0.137049112491133
292,2206322.33381376,0.137076850427262
292,2275269.90674544,0.13710458836339
292,2344217.47967712,0.137132326299519
292,2413165.0526088,0.137160064235647
292,2482112.62554048,0.137187802171776
292,2551060.19847216,0.137215540107904
292,2620007.77140384,0.137243278044033
292,2688955.34433552,0.137271015980161
292,2757902.9172672,0.137298753916289
292,2826850.49019888,0.137326491852418
292,2895798.06313056,0.137354229788546
292,2964745.63606224,0.137381967724675
292,3033693.20899392,0.137409705660803
292,3102640.7819256,0.137437443596932
292,3171588.35485728,0.13746518153306
292,3240535.92778896,0.137492919469189
292,3309483.50072064,0.137520657405317
292,3378431.07365232,0.137548395341445
292,3447378.646584,0.137576133277574
294,1723689.323292,0.136480768453973
294,1792636.89622368,0.136508424945673
294,1861584.46915536,0.136536081437373
294,1930532.04208704,0.136563737929073
294,1999479.61501872,0.136591394420774
294,2068427.1879504,0.136619050912474
294,2137374.76088208,0.136646707404174
294,2206322.33381376,0.136674363895875
294,2275269.90674544,0.136702020387575
294,2344217.47967712,0.136729676879275
294,2413165.0526088,0.136757333370975
294,2482112.62554048,0.136784989862676
294,2551060.19847216,0.136812646354376
294,2620007.77140384,0.136840302846076
294,2688955.34433552,0.136867959337776
294,2757902.9172672,0.136895615829477
294,2826850.49019888,0.136923272321177
294,2895798.06313056,0.136950928812877
294,2964745.63606224,0.136978585304577
294,3033693.20899392,0.137006241796278
294,3102640.7819256,0.137033898287978
294,3171588.35485728,0.137061554779678
294,3240535.92778896,0.137089211271378
294,3309483.50072064,0.137116867763079
294,3378431.07365232,0.137144524254779
294,3447378.646584,0.137172180746479
296,1723689.323292,0.136078852033583
296,1792636.89622368,0.136106427080855
296,1861584.46915536,0.136134002128127
296,1930532.04208704,0.136161577175399
296,1999479.61501872,0.136189152222671
296,2068427.1879504,0.136216727269943
296,2137374.76088208,0.136244302317215
296,2206322.33381376,0.136271877364487
296,2275269.90674544,0.136299452411759
296,2344217.47967712,0.136327027459031
296,2413165.0526088,0.136354602506303
296,2482112.62554048,0.136382177553575
296,2551060.19847216,0.136409752600847
296,2620007.77140384,0.13643732764812
296,2688955.34433552,0.136464902695392
296,2757902.9172672,0.136492477742664
296,2826850.49019888,0.136520052789936
296,2895798.06313056,0.136547627837208
296,2964745.63606224,0.13657520288448
296,3033693.20899392,0.136602777931752
296,3102640.7819256,0.136630352979024
296,3171588.35485728,0.136657928026296
296,3240535.92778896,0.136685503073568
296,3309483.50072064,0.13671307812084
296,3378431.07365232,0.136740653168112
296,3447378.646584,0.136768228215384
298,1723689.323292,0.135676935613192
298,1792636.89622368,0.135704429216036
298,1861584.46915536,0.13573192281888
298,1930532.04208704,0.135759416421724
298,1999479.61501872,0.135786910024568
298,2068427.1879504,0.135814403627412
298,2137374.76088208,0.135841897230256
298,2206322.33381376,0.1358693908331
298,2275269.90674544,0.135896884435944
298,2344217.47967712,0.135924378038788
298,2413165.0526088,0.135951871641631
298,2482112.62554048,0.135979365244475
298,2551060.19847216,0.136006858847319
298,2620007.77140384,0.136034352450163
298,2688955.34433552,0.136061846053007
298,2757902.9172672,0.136089339655851
298,2826850.49019888,0.136116833258695
298,2895798.06313056,0.136144326861539
298,2964745.63606224,0.136171820464383
298,3033693.20899392,0.136199314067226
298,3102640.7819256,0.13622680767007
298,3171588.35485728,0.136254301272914
298,3240535.92778896,0.136281794875758
298,3309483.50072064,0.136309288478602
298,3378431.07365232,0.136336782081446
298,3447378.646584,0.13636427568429
300,1723689.323292,0.135275019192802
300,1792636.89622368,0.135302431351218
300,1861584.46915536,0.135329843509634
300,1930532.04208704,0.135357255668049
300,1999479.61501872,0.135384667826465
300,2068427.1879504,0.135412079984881
300,2137374.76088208,0.135439492143297
300,2206322.33381376,0.135466904301712
300,2275269.90674544,0.135494316460128
300,2344217.47967712,0.135521728618544
300,2413165.0526088,0.135549140776959
300,2482112.62554048,0.135576552935375
300,2551060.19847216,0.135603965093791
300,2620007.77140384,0.135631377252207
300,2688955.34433552,0.135658789410622
300,2757902.9172672,0.135686201569038
300,2826850.49019888,0.135713613727454
300,2895798.06313056,0.135741025885869
300,2964745.63606224,0.135768438044285
300,3033693.20899392,0.135795850202701
300,3102640.7819256,0.135823262361117
300,3171588.35485728,0.135850674519532
300,3240535.92778896,0.135878086677948
300,3309483.50072064,0.135905498836364
300,3378431.07365232,0.135932910994779
300,3447378.646584,0.135960323153195
302,1723689.323292,0.134873102772412
302,1792636.89622368,0.1349004334864
