T_K,P_Pa,mu_Pa_s
302,3171588.35485728,0.00187257296490641
302,3240535.92778896,0.0018732776989119
302,3309483.50072064,0.00187398269814071
302,3378431.07365232,0.00187468796269265
302,3447378.646584,0.00187539349266758
304,1723689.323292,0.00175111372321848
304,1792636.89622368,0.00175177274661109
304,1861584.46915536,0.00175243201802404
304,1930532.04208704,0.00175309153755067
304,1999479.61501872,0.00175375130528438
304,2068427.1879504,0.00175441132131855
304,2137374.76088208,0.00175507158574665
304,2206322.33381376,0.00175573209866215
304,2275269.90674544,0.00175639286015858
304,2344217.47967712,0.00175705387032948
304,2413165.0526088,0.00175771512926844
304,2482112.62554048,0.00175837663706908
304,2551060.19847216,0.00175903839382506
304,2620007.77140384,0.00175970039963008
304,2688955.34433552,0.00176036265457786
304,2757902.9172672,0.00176102515876217
304,2826850.49019888,0.0017616879122768
304,2895798.06313056,0.0017623509152156
304,2964745.63606224,0.00176301416767242
304,3033693.20899392,0.00176367766974118
304,3102640.7819256,0.00176434142151582
304,3171588.35485728,0.0017650054230903
304,3240535.92778896,0.00176566967455865
304,3309483.50072064,0.0017663341760149
304,3378431.07365232,0.00176699892755314
304,3447378.646584,0.00176766392926749
306,1723689.323292,0.00165130416603764
306,1792636.89622368,0.00165192562657404
306,1861584.46915536,0.00165254732099418
306,1930532.04208704,0.00165316924938608
306,1999479.61501872,0.0016537914118378
306,2068427.1879504,0.00165441380843742
306,2137374.76088208,0.00165503643927307
306,2206322.33381376,0.0016556593044329
306,2275269.90674544,0.0016562824040051
306,2344217.47967712,0.00165690573807788
306,2413165.0526088,0.0016575293067395
306,2482112.62554048,0.00165815311007825
306,2551060.19847216,0.00165877714818244
306,2620007.77140384,0.00165940142114043
306,2688955.34433552,0.0016600259290406
306,2757902.9172672,0.00166065067197137
306,2826850.49019888,0.00166127565002121
306,2895798.06313056,0.00166190086327858
306,2964745.63606224,0.00166252631183202
306,3033693.20899392,0.00166315199577007
306,3102640.7819256,0.00166377791518132
306,3171588.35485728,0.00166440407015438
306,3240535.92778896,0.00166503046077792
306,3309483.50072064,0.00166565708714062
306,3378431.07365232,0.0016662839493312
306,3447378.646584,0.0016669110474384
308,1723689.323292,0.00155766327108184
308,1792636.89622368,0.00155824949030897
308,1861584.46915536,0.00155883593015694
308,1930532.04208704,0.00155942259070879
308,1999479.61501872,0.00156000947204756
308,2068427.1879504,0.00156059657425636
308,2137374.76088208,0.00156118389741831
308,2206322.33381376,0.00156177144161656
308,2275269.90674544,0.0015623592069343
308,2344217.47967712,0.00156294719345475
308,2413165.0526088,0.00156353540126115
308,2482112.62554048,0.00156412383043678
308,2551060.19847216,0.00156471248106496
308,2620007.77140384,0.00156530135322903
308,2688955.34433552,0.00156589044701236
308,2757902.9172672,0.00156647976249836
308,2826850.49019888,0.00156706929977046
308,2895798.06313056,0.00156765905891213
308,2964745.63606224,0.00156824904000688
308,3033693.20899392,0.00156883924313823
308,3102640.7819256,0.00156942966838974
308,3171588.35485728,0.00157002031584502
308,3240535.92778896,0.00157061118558768
308,3309483.50072064,0.00157120227770138
308,3378431.07365232,0.00157179359226981
308,3447378.646584,0.00157238512937669
310,1723689.323292,0.0014734563782616
310,1792636.89622368,0.00147401090662168
310,1861584.46915536,0.0014745656436759
310,1930532.04208704,0.00147512058950279
310,1999479.61501872,0.00147567574418092
310,2068427.1879504,0.0014762311077889
310,2137374.76088208,0.00147678668040536
310,2206322.33381376,0.00147734246210895
310,2275269.90674544,0.00147789845297837
310,2344217.47967712,0.00147845465309232
310,2413165.0526088,0.00147901106252957
310,2482112.62554048,0.00147956768136889
310,2551060.19847216,0.00148012450968908
310,2620007.77140384,0.00148068154756898
310,2688955.34433552,0.00148123879508746
310,2757902.9172672,0.00148179625232342
310,2826850.49019888,0.00148235391935578
310,2895798.06313056,0.0014829117962635
310,2964745.63606224,0.00148346988312556
310,3033693.20899392,0.00148402818002098
310,3102640.7819256,0.00148458668702881
310,3171588.35485728,0.00148514540422811
310,3240535.92778896,0.001485704331698
310,3309483.50072064,0.00148626346951761
310,3378431.07365232,0.00148682281776609
310,3447378.646584,0.00148738237652266
312,1723689.323292,0.00140189719120948
312,1792636.89622368,0.00140242478860694
312,1861584.46915536,0.0014029525845632
312,1930532.04208704,0.00140348057915297
312,1999479.61501872,0.00140400877245102
312,2068427.1879504,0.00140453716453213
312,2137374.76088208,0.0014050657554711
312,2206322.33381376,0.00140559454534279
312,2275269.90674544,0.00140612353422204
312,2344217.47967712,0.00140665272218377
312,2413165.0526088,0.00140718210930289
312,2482112.62554048,0.00140771169565436
312,2551060.19847216,0.00140824148131315
312,2620007.77140384,0.00140877146635428
312,2688955.34433552,0.00140930165085278
312,2757902.9172672,0.00140983203488371
312,2826850.49019888,0.00141036261852218
312,2895798.06313056,0.00141089340184329
312,2964745.63606224,0.00141142438492221
312,3033693.20899392,0.0014119555678341
312,3102640.7819256,0.00141248695065418
312,3171588.35485728,0.00141301853345767
312,3240535.92778896,0.00141355031631985
312,3309483.50072064,0.001414082299316
312,3378431.07365232,0.00141461448252144
312,3447378.646584,0.00141514686601152
314,1723689.323292,0.0013341925089476
314,1792636.89622368,0.00133469462600715
314,1861584.46915536,0.00133519693203608
314,1930532.04208704,0.00133569942710552
314,1999479.61501872,0.00133620211128661
314,2068427.1879504,0.00133670498465052
314,2137374.76088208,0.00133720804726845
314,2206322.33381376,0.00133771129921162
314,2275269.90674544,0.00133821474055129
314,2344217.47967712,0.00133871837135873
314,2413165.0526088,0.00133922219170526
314,2482112.62554048,0.00133972620166219
314,2551060.19847216,0.0013402304013009
314,2620007.77140384,0.00134073479069276
314,2688955.34433552,0.00134123936990919
314,2757902.9172672,0.00134174413902163
314,2826850.49019888,0.00134224909810155
314,2895798.06313056,0.00134275424722043
314,2964745.63606224,0.0013432595864498
314,3033693.20899392,0.00134376511586121
314,3102640.7819256,0.00134427083552623
314,3171588.35485728,0.00134477674551646
314,3240535.92778896,0.00134528284590353
314,3309483.50072064,0.0013457891367591
314,3378431.07365232,0.00134629561815484
314,3447378.646584,0.00134680229016246
316,1723689.323292,0.00127042679749952
316,1792636.89622368,0.00127090491663424
316,1861584.46915536,0.00127138321570685
316,1930532.04208704,0.00127186169478505
316,1999479.61501872,0.0012723403539366
316,2068427.1879504,0.00127281919322926
316,2137374.76088208,0.00127329821273083
316,2206322.33381376,0.00127377741250914
316,2275269.90674544,0.00127425679263202
316,2344217.47967712,0.00127473635316734
316,2413165.0526088,0.00127521609418302
316,2482112.62554048,0.00127569601574696
316,2551060.19847216,0.00127617611792713
316,2620007.77140384,0.00127665640079148
316,2688955.34433552,0.00127713686440802
316,2757902.9172672,0.00127761750884478
316,2826850.49019888,0.00127809833416981
316,2895798.06313056,0.00127857934045119
316,2964745.63606224,0.001279060527757
316,3033693.20899392,0.0012795418961554
316,3102640.7819256,0.00128002344571451
316,3171588.35485728,0.00128050517650254
316,3240535.92778896,0.00128098708858767
316,3309483.50072064,0.00128146918203815
316,3378431.07365232,0.00128195145692222
316,3447378.646584,0.00128243391330817
318,1723689.323292,0.00121002507201806
318,1792636.89622368,0.00121048045924821
318,1861584.46915536,0.0012109360178612
318,1930532.04208704,0.00121139174792153
318,1999479.61501872,0.00121184764949371
318,2068427.1879504,0.0012123037226423
318,2137374.76088208,0.00121275996743187
318,2206322.33381376,0.00121321638392701
318,2275269.90674544,0.00121367297219235
318,2344217.47967712,0.00121412973229253
318,2413165.0526088,0.00121458666429223
318,2482112.62554048,0.00121504376825612
318,2551060.19847216,0.00121550104424893
318,2620007.77140384,0.00121595849233541
318,2688955.34433552,0.00121641611258032
318,2757902.9172672,0.00121687390504846
318,2826850.49019888,0.00121733186980462
318,2895798.06313056,0.00121779000691367
318,2964745.63606224,0.00121824831644045
318,3033693.20899392,0.00121870679844987
318,3102640.7819256,0.00121916545300682
318,3171588.35485728,0.00121962428017626
318,3240535.92778896,0.00122008328002314
318,3309483.50072064,0.00122054245261244
318,3378431.07365232,0.00122100179800919
318,3447378.646584,0.00122146131627841
320,1723689.323292,0.0011526235863021
320,1792636.89622368,0.00115305737075377
320,1861584.46915536,0.00115349131845817
320,1930532.04208704,0.00115392542947675
320,1999479.61501872,0.00115435970387096
320,2068427.1879504,0.00115479414170229
320,2137374.76088208,0.00115522874303225
320,2206322.33381376,0.00115566350792238
320,2275269.90674544,0.00115609843643421
320,2344217.47967712,0.00115653352862935
320,2413165.0526088,0.00115696878456938
320,2482112.62554048,0.00115740420431593
320,2551060.19847216,0.00115783978793064
320,2620007.77140384,0.0011582755354752
320,2688955.34433552,0.00115871144701129
320,2757902.9172672,0.00115914752260063
320,2826850.49019888,0.00115958376230497
320,2895798.06313056,0.00116002016618606
320,2964745.63606224,0.00116045673430569
320,3033693.20899392,0.00116089346672568
320,3102640.7819256,0.00116133036350785
320,3171588.35485728,0.00116176742471407
320,3240535.92778896,0.00116220465040621
320,3309483.50072064,0.00116264204064617
320,3378431.07365232,0.0011630795954959
320,3447378.646584,0.00116351731501732
