T_K,P_Pa,cp_J_kg_K
310,2206322.33381376,2750
310,2275269.90674544,2750
310,2344217.47967712,2750
310,2413165.0526088,2750
310,2482112.62554048,2750
310,2551060.19847216,2750
310,2620007.77140384,2750
310,2688955.34433552,2750
310,2757902.9172672,2750
310,2826850.49019888,2750
310,2895798.06313056,2750
310,2964745.63606224,2750
310,3033693.20899392,2750
310,3102640.7819256,2750
310,3171588.35485728,2750
310,3240535.92778896,2750
310,3309483.50072064,2750
310,3378431.07365232,2750
310,3447378.646584,2750
312,1723689.323292,2778
312,1792636.89622368,2778
312,1861584.46915536,2778
312,1930532.04208704,2778
312,1999479.61501872,2778
312,2068427.1879504,2778
312,2137374.76088208,2778
312,2206322.33381376,2778
312,2275269.90674544,2778
312,2344217.47967712,2778
312,2413165.0526088,2778
312,2482112.62554048,2778
312,2551060.19847216,2778
312,2620007.77140384,2778
312,2688955.34433552,2778
312,2757902.9172672,2778
312,2826850.49019888,2778
312,2895798.06313056,2778
312,2964745.63606224,2778
312,3033693.20899392,2778
312,3102640.7819256,2778
312,3171588.35485728,2778
312,3240535.92778896,2778
312,3309483.50072064,2778
312,3378431.07365232,2778
312,3447378.646584,2778
314,1723689.323292,2806
314,1792636.89622368,2806
314,1861584.46915536,2806
314,1930532.04208704,2806
314,1999479.61501872,2806
314,2068427.1879504,2806
314,2137374.76088208,2806
314,2206322.33381376,2806
314,2275269.90674544,2806
314,2344217.47967712,2806
314,2413165.0526088,2806
314,2482112.62554048,2806
314,2551060.19847216,2806
314,2620007.77140384,2806
314,2688955.34433552,2806
314,2757902.9172672,2806
314,2826850.49019888,2806
314,2895798.06313056,2806
314,2964745.63606224,2806
314,3033693.20899392,2806
314,3102640.7819256,2806
314,3171588.35485728,2806
314,3240535.92778896,2806
314,3309483.50072064,2806
314,3378431.07365232,2806
314,3447378.646584,2806
316,1723689.323292,2834
316,1792636.89622368,2834
316,1861584.46915536,2834
316,1930532.04208704,2834
316,1999479.61501872,2834
316,2068427.1879504,2834
316,2137374.76088208,2834
316,2206322.33381376,2834
316,2275269.90674544,2834
316,2344217.47967712,2834
316,2413165.0526088,2834
316,2482112.62554048,2834
316,2551060.19847216,2834
316,2620007.77140384,2834
316,2688955.34433552,2834
316,2757902.9172672,2834
316,2826850.49019888,2834
316,2895798.06313056,2834
316,2964745.63606224,2834
316,3033693.20899392,2833.93261358201
316,3102640.7819256,2833.79471843615
316,3171588.35485728,2833.65682329029
316,3240535.92778896,2833.51892814442
316,3309483.50072064,2833.38103299856
316,3378431.07365232,2833.24313785269
316,3447378.646584,2833.10524270683
318,1723689.323292,2862
318,1792636.89622368,2862
318,1861584.46915536,2862
318,1930532.04208704,2862
318,1999479.61501872,2862
318,2068427.1879504,2862
318,2137374.76088208,2862
318,2206322.33381376,2862
318,2275269.90674544,2862
318,2344217.47967712,2862
318,2413165.0526088,2862
318,2482112.62554048,2862
318,2551060.19847216,2862
318,2620007.77140384,2862
318,2688955.34433552,2862
318,2757902.9172672,2862
318,2826850.49019888,2862
318,2895798.06313056,2862
318,2964745.63606224,2862
318,3033693.20899392,2861.79784074604
318,3102640.7819256,2861.38415530845
318,3171588.35485728,2860.97046987086
318,3240535.92778896,2860.55678443327
318,3309483.50072064,2860.14309899568
318,3378431.07365232,2859.72941355809
318,3447378.646584,2859.3157281205
320,1723689.323292,2890
320,1792636.89622368,2890
320,1861584.46915536,2890
320,1930532.04208704,2890
320,1999479.61501872,2890
320,2068427.1879504,2890
320,2137374.76088208,2890
320,2206322.33381376,2890
320,2275269.90674544,2890
320,2344217.47967712,2890
320,2413165.0526088,2890
320,2482112.62554048,2890
320,2551060.19847216,2890
320,2620007.77140384,2890
320,2688955.34433552,2890
320,2757902.9172672,2890
320,2826850.49019888,2890
320,2895798.06313056,2890
320,2964745.63606224,2890
320,3033693.20899392,2889.66306791006
320,3102640.7819256,2888.97359218074
320,3171588.35485728,2888.28411645143
320,3240535.92778896,2887.59464072211
320,3309483.50072064,2886.90516499279
320,3378431.07365232,2886.21568926348
320,3447378.646584,2885.52621353416
